protein,com_id,com_pubchem_id,pla_id,pla_name,pla_idr_name,prob
SIR1,COM00001695,289,PLA00000642,Luffa cylindrica,,1.0
SIR1,COM00001695,289,PLA00000907,Prunus persica,,1.0
SIR1,COM00001695,289,PLA00001227,Vitis vinifera,,1.0
SIR1,COM00001695,289,PLA00001739,Illicium fargesii,,1.0
SIR1,COM00001695,289,PLA00002116,Citrus paradisi,,1.0
SIR1,COM00001695,289,PLA00002385,Terminalia chebula,,1.0
SIR1,COM00001695,289,PLA00002501,Uncaria gambir,,1.0
SIR1,COM00001695,289,PLA00002907,Ziziphus jujuba,Angco,1.0
SIR1,COM00001695,289,PLA00003092,Malus doumeri,,1.0
SIR1,COM00001695,289,PLA00004574,Nelumbo nucifera,,1.0
SIR1,COM00001695,289,PLA00004899,Gaultheria spp.,,1.0
IGF1,COM00002506,996,PLA00000164,Artemisia capillaris,,1.0
IGF1,COM00002506,996,PLA00000341,Angelica sinensis,,1.0
IGF1,COM00002506,996,PLA00002114,Paeonia albiflora,,1.0
IGF1,COM00002506,996,PLA00002471,Paederia chinensis,,1.0
IGF1,COM00002506,996,PLA00002722,Morus spp.,,1.0
IGF1,COM00002506,996,PLA00002977,Dipsacus asperoides,,1.0
IGF1,COM00002506,996,PLA00003294,Vitex trifolia,Legundi,1.0
IGF1,COM00002506,996,PLA00004217,Bupleurum chinense,,1.0
IGF1,COM00002506,996,PLA00004532,Melia azadirach,,1.0
IGF1,COM00000996,6137,PLA00000792,Codonopsis pilosula,,0.98
IGF1,COM00000996,6137,PLA00001432,Ginkgo biloba,Ginkgo,0.98
IGF1,COM00000996,6137,PLA00001716,Codonopsis subglobosa,,0.98
IGF1,COM00000996,6137,PLA00002717,Codonopsis tangshen,,0.98
IGF1,COM00000996,6137,PLA00004714,Punica granatum,Delima,0.98
SIR1,COM00005149,942,PLA00000744,Areca catechu,Jambe daun/Pinang,0.98
SIR1,COM00005149,942,PLA00002542,Lycopodium spp.,,0.98
SIR1,COM00005149,942,PLA00003755,Equisetum arvense,,0.98
SIR1,COM00005149,942,PLA00004325,Acacia rigidula,,0.98
SIR1,COM00005149,942,PLA00004998,Acacia concinna,,0.98
SIR1,COM00003354,790,PLA00001031,Fritillaria cirrhosa,,0.98
SIR1,COM00003354,790,PLA00003371,Lycium chinense,,0.98
SIR1,COM00003354,790,PLA00003610,Cordyceps sinensis,,0.98
SIR1,COM00002631,785,PLA00000414,Vaccinium vitis-idaea,,0.98
