,UniprotID,PubChem_CID,interaction
0,Q14457,264,1
1,Q14457,297,1
2,Q14457,305,1
3,Q14457,441,1
4,Q14457,544,1
5,Q14457,612,1
6,Q14457,702,1
7,Q14457,727,1
8,Q14457,784,1
9,Q14457,785,1
10,Q14457,892,1
11,Q14457,896,1
12,Q14457,935,1
13,Q14457,962,1
14,Q14457,977,1
15,Q14457,985,1
16,Q14457,992,1
17,Q14457,995,1
18,Q14457,1060,1
19,Q14457,1119,1
20,Q14457,1254,1
21,Q14457,1322,1
22,Q14457,1388,1
23,Q14457,1486,1
24,Q14457,1752,1
25,Q14457,1863,1
26,Q14457,1969,1
27,Q14457,1983,1
28,Q14457,2179,1
29,Q14457,2214,1
30,Q14457,2236,1
31,Q14457,2256,1
32,Q14457,2268,1
33,Q14457,2336,1
34,Q14457,2337,1
35,Q14457,2353,1
36,Q14457,2355,1
37,Q14457,2478,1
38,Q14457,2519,1
39,Q14457,2526,1
40,Q14457,2541,1
41,Q14457,2554,1
42,Q14457,2568,1
43,Q14457,2578,1
44,Q14457,2585,1
45,Q14457,2603,1
46,Q14457,2719,1
47,Q14457,2730,1
48,Q14457,2788,1
49,Q14457,2879,1
50,Q14457,2907,1
51,Q14457,2973,1
52,Q14457,3026,1
53,Q14457,3035,1
54,Q14457,3117,1
55,Q14457,3121,1
56,Q14457,3218,1
57,Q14457,3224,1
58,Q14457,3339,1
59,Q14457,3352,1
60,Q14457,3385,1
61,Q14457,3386,1
62,Q14457,3397,1
63,Q14457,3496,1
64,Q14457,3611,1
65,Q14457,3715,1
66,Q14457,3730,1
67,Q14457,3821,1
68,Q14457,3885,1
69,Q14457,3973,1
70,Q14457,4011,1
71,Q14457,4055,1
72,Q14457,4096,1
73,Q14457,4205,1
74,Q14457,4212,1
75,Q14457,4477,1
76,Q14457,4650,1
77,Q14457,4696,1
78,Q14457,4713,1
79,Q14457,4784,1
80,Q14457,4875,1
81,Q14457,4927,1
82,Q14457,5235,1
83,Q14457,5258,1
84,Q14457,5281,1
85,Q14457,5291,1
86,Q14457,5311,1
87,Q14457,5350,1
88,Q14457,5394,1
89,Q14457,5426,1
90,Q14457,5455,1
91,Q14457,5566,1
92,Q14457,5570,1
93,Q14457,5601,1
94,Q14457,5743,1
95,Q14457,5757,1
96,Q14457,5833,1
97,Q14457,5885,1
98,Q14457,5909,1
99,Q14457,5921,1
100,Q14457,5943,1
101,Q14457,5944,1
102,Q14457,5991,1
103,Q14457,6001,1
104,Q14457,6036,1
105,Q14457,6106,1
106,Q14457,6137,1
107,Q14457,6197,1
108,Q14457,6207,1
109,Q14457,6226,1
110,Q14457,6348,1
111,Q14457,6496,1
112,Q14457,6527,1
113,Q14457,6575,1
114,Q14457,6579,1
115,Q14457,6623,1
116,Q14457,6626,1
117,Q14457,6758,1
118,Q14457,6777,1
119,Q14457,6795,1
120,Q14457,7427,1
121,Q14457,7460,1
122,Q14457,7565,1
123,Q14457,7577,1
124,Q14457,7855,1
125,Q14457,7881,1
126,Q14457,8289,1
127,Q14457,8343,1
128,Q14457,8515,1
129,Q14457,8554,1
130,Q14457,8606,1
131,Q14457,8607,1
132,Q14457,9001,1
133,Q14457,9280,1
134,Q14457,9317,1
135,Q14457,9403,1
136,Q14457,9502,1
137,Q14457,9554,1
138,Q14457,9777,1
139,Q14457,10168,1
140,Q14457,10228,1
141,Q14457,10255,1
142,Q14457,10494,1
143,Q14457,10621,1
144,Q14457,10742,1
145,Q14457,10836,1
146,Q14457,10986,1
147,Q14457,11045,1
148,Q14457,11092,1
149,Q14457,11813,1
150,Q14457,12035,1
151,Q14457,12111,1
152,Q14457,12544,1
153,Q14457,12688,1
154,Q14457,12967,1
155,Q14457,13360,1
156,Q14457,13709,1
157,Q14457,13791,1
158,Q14457,14210,1
159,Q14457,14219,1
160,Q14457,14296,1
161,Q14457,14457,1
162,Q14457,14805,1
163,Q14457,14806,1
164,Q14457,14833,1
165,Q14457,15096,1
166,Q14457,15625,1
167,Q14457,15939,1
168,Q14457,17513,1
169,Q14457,18617,1
170,Q14457,20392,1
171,Q14457,20393,1
172,Q14457,23448,1
173,Q14457,23932,1
174,Q14457,23973,1
175,Q14457,23978,1
176,Q14457,23994,1
177,Q14457,24261,1
178,Q14457,24360,1
179,Q14457,24385,1
180,Q14457,24424,1
181,Q14457,24462,1
182,Q14457,24480,1
183,Q14457,24502,1
184,Q14457,24775,1
185,Q14457,24823,1
186,Q14457,24934,1
187,Q14457,24947,1
188,Q14457,25408,1
189,Q14457,25517,1
190,Q14457,26042,1
191,Q14457,26177,1
192,Q14457,26879,1
193,Q14457,27924,1
194,Q14457,28179,1
195,Q14457,29131,1
196,Q14457,29327,1
197,Q14457,31211,1
198,Q14457,31703,1
199,Q14457,33775,1
200,Q14457,35823,1
201,Q14457,36314,1
202,Q14457,37248,1
203,Q14457,39484,1
204,Q14457,39676,1
205,Q14457,39800,1
206,Q14457,39836,1
207,Q14457,40024,1
208,Q14457,40585,1
209,Q14457,41867,1
210,Q14457,44259,1
211,Q14457,47576,1
212,Q14457,50367,1
213,Q14457,51683,1
214,Q14457,54454,1
215,Q14457,54900,1
216,Q14457,60823,1
217,Q14457,62923,1
218,Q14457,64735,1
219,Q14457,64927,1
220,Q14457,65064,1
221,Q14457,65312,1
222,Q14457,65411,1
223,Q14457,65981,1
224,Q14457,66166,1
225,Q14457,67734,1
226,Q14457,67822,1
227,Q14457,68296,1
228,Q14457,68740,1
229,Q14457,71388,1
230,Q14457,71905,1
231,Q14457,72281,1
232,Q14457,73078,1
233,Q14457,73384,1
234,Q14457,73597,1
235,Q14457,74483,1
236,Q14457,77222,1
237,Q14457,77999,1
238,Q14457,84298,1
239,Q14457,89594,1
240,Q14457,91466,1
241,Q14457,91550,1
242,Q14457,92427,1
243,Q14457,96356,1
244,Q14457,104955,1
245,Q14457,104993,1
246,Q14457,107526,1
247,Q14457,107901,1
248,Q14457,107969,1
249,Q14457,107985,1
250,Q14457,108168,1
251,Q14457,108223,1
252,Q14457,110635,1
253,Q14457,114481,1
254,Q14457,121396,1
255,Q14457,122724,1
256,Q14457,122738,1
257,Q14457,123631,1
258,Q14457,126941,1
259,Q14457,154279,1
260,Q14457,161557,1
261,Q14457,162859,1
262,Q14457,165688,1
263,Q14457,174706,1
264,Q14457,175805,1
265,Q14457,176155,1
266,Q14457,176408,1
267,Q14457,176871,1
268,Q14457,177880,1
269,Q14457,186907,1
