uniprot_id,pubchem_id,interaction
BECN1,264,1
BECN1,297,1
BECN1,305,1
BECN1,441,1
BECN1,544,1
BECN1,612,1
BECN1,702,1
BECN1,727,1
BECN1,784,1
BECN1,785,1
BECN1,892,1
BECN1,896,1
BECN1,935,1
BECN1,962,1
BECN1,977,1
BECN1,985,1
BECN1,992,1
BECN1,995,1
BECN1,1060,1
BECN1,1119,1
BECN1,1254,1
BECN1,1322,1
BECN1,1388,1
BECN1,1486,1
BECN1,1752,1
BECN1,1863,1
BECN1,1969,1
BECN1,1983,1
BECN1,2179,1
BECN1,2214,1
BECN1,2236,1
BECN1,2256,1
BECN1,2268,1
BECN1,2336,1
BECN1,2337,1
BECN1,2353,1
BECN1,2355,1
BECN1,2478,1
BECN1,2519,1
BECN1,2526,1
BECN1,2541,1
BECN1,2554,1
BECN1,2568,1
BECN1,2578,1
BECN1,2585,1
BECN1,2603,1
BECN1,2719,1
BECN1,2730,1
BECN1,2788,1
BECN1,2879,1
BECN1,2907,1
BECN1,2973,1
BECN1,3026,1
BECN1,3035,1
BECN1,3117,1
BECN1,3121,1
BECN1,3218,1
BECN1,3224,1
BECN1,3339,1
BECN1,3352,1
BECN1,3385,1
BECN1,3386,1
BECN1,3397,1
BECN1,3496,1
BECN1,3611,1
BECN1,3715,1
BECN1,3730,1
BECN1,3821,1
BECN1,3885,1
BECN1,3973,1
BECN1,4011,1
BECN1,4055,1
BECN1,4096,1
BECN1,4205,1
BECN1,4212,1
BECN1,4477,1
BECN1,4650,1
BECN1,4696,1
BECN1,4713,1
BECN1,4784,1
BECN1,4875,1
BECN1,4927,1
BECN1,5235,1
BECN1,5258,1
BECN1,5281,1
BECN1,5291,1
BECN1,5311,1
BECN1,5350,1
BECN1,5394,1
BECN1,5426,1
BECN1,5455,1
BECN1,5566,1
BECN1,5570,1
BECN1,5601,1
BECN1,5743,1
BECN1,5757,1
BECN1,5833,1
BECN1,5885,1
BECN1,5909,1
BECN1,5921,1
BECN1,5943,1
BECN1,5944,1
BECN1,5991,1
BECN1,6001,1
BECN1,6036,1
BECN1,6106,1
BECN1,6137,1
BECN1,6197,1
BECN1,6207,1
BECN1,6226,1
BECN1,6348,1
BECN1,6496,1
BECN1,6527,1
BECN1,6575,1
BECN1,6579,1
BECN1,6623,1
BECN1,6626,1
BECN1,6758,1
BECN1,6777,1
BECN1,6795,1
BECN1,7427,1
BECN1,7460,1
BECN1,7565,1
BECN1,7577,1
BECN1,7855,1
BECN1,7881,1
BECN1,8289,1
BECN1,8343,1
BECN1,8515,1
BECN1,8554,1
BECN1,8606,1
BECN1,8607,1
BECN1,9001,1
BECN1,9280,1
BECN1,9317,1
BECN1,9403,1
BECN1,9502,1
BECN1,9554,1
BECN1,9777,1
BECN1,10168,1
BECN1,10228,1
BECN1,10255,1
BECN1,10494,1
BECN1,10621,1
BECN1,10742,1
BECN1,10836,1
BECN1,10986,1
BECN1,11045,1
BECN1,11092,1
BECN1,11813,1
BECN1,12035,1
BECN1,12111,1
BECN1,12544,1
BECN1,12688,1
BECN1,12967,1
BECN1,13360,1
BECN1,13709,1
BECN1,13791,1
BECN1,14210,1
BECN1,14219,1
BECN1,14296,1
BECN1,14457,1
BECN1,14805,1
BECN1,14806,1
BECN1,14833,1
BECN1,15096,1
BECN1,15625,1
BECN1,15939,1
BECN1,17513,1
BECN1,18617,1
BECN1,20392,1
BECN1,20393,1
BECN1,23448,1
BECN1,23932,1
BECN1,23973,1
BECN1,23978,1
BECN1,23994,1
BECN1,24261,1
BECN1,24360,1
BECN1,24385,1
BECN1,24424,1
BECN1,24462,1
BECN1,24480,1
BECN1,24502,1
BECN1,24775,1
BECN1,24823,1
BECN1,24934,1
BECN1,24947,1
BECN1,25408,1
BECN1,25517,1
BECN1,26042,1
BECN1,26177,1
BECN1,26879,1
BECN1,27924,1
BECN1,28179,1
BECN1,29131,1
BECN1,29327,1
BECN1,31211,1
BECN1,31703,1
BECN1,33775,1
BECN1,35823,1
BECN1,36314,1
BECN1,37248,1
BECN1,39484,1
BECN1,39676,1
BECN1,39800,1
BECN1,39836,1
BECN1,40024,1
BECN1,40585,1
BECN1,41867,1
BECN1,44259,1
BECN1,47576,1
BECN1,50367,1
