protein,com_id,com_pubchem_id,prob
BECN1,COM00000058,5280343,0.99
SIR1,COM00000058,5280343,0.99
SIR1,COM00002631,785,0.98
BECN1,COM00006020,5281672,0.97
SIR1,COM00005149,942,0.97
SIR1,COM00000718,5280961,0.97
SIR1,COM00003354,790,0.97
SIR1,COM00002627,6013,0.96
SIR1,COM00002506,996,0.96
SIR1,COM00003074,439246,0.96
SIR1,COM00001180,2879,0.96
SIR2,COM00003354,790,0.95
CDN2A,COM00006114,5978,0.95
SIR1,COM00000205,2519,0.95
SIR1,COM00001237,5280863,0.95
BECN1,COM00003218,440995,0.94
SIR1,COM00001695,289,0.93
SIR1,COM00002234,702,0.92
SIR1,COM00003588,10836,0.92
SIR1,COM00000583,6590,0.92
SIR1,COM00002659,10430,0.92
CDN2A,COM00000037,241903,0.92
SIR2,COM00003588,10836,0.92
SIR1,COM00006020,5281672,0.91
BECN1,COM00000837,72281,0.91
SIR1,COM00006158,1032,0.91
SIR1,COM00004730,342,0.91
SIR1,COM00005599,3715,0.9
SIR1,COM00000666,445154,0.9
SIR1,COM00001233,1031,0.89
IGF1,COM00004345,16666,0.89
SIR1,COM00000850,3662,0.89
SIR1,COM00005500,444863,0.89
SIR1,COM00002122,46937002,0.88
SIR1,COM00001123,264,0.88
SIR2,COM00000671,936,0.88
SIR2,COM00001188,6037,0.87
IGF1,COM00002122,46937002,0.87
SIR1,COM00000369,46936757,0.86
CDN2A,COM00002234,702,0.86
BECN1,COM00003588,10836,0.86
SIR1,COM00003297,3776,0.86
BECN1,COM00003181,12530,0.86
BECN1,COM00002278,3893,0.86
BECN1,COM00000363,2969,0.86
BECN1,COM00006608,1174,0.86
BECN1,COM00004908,379,0.86
SIR1,COM00003488,637517,0.85
IGF1,COM00004258,439260,0.85
SIR1,COM00000014,6089,0.85
SIR2,COM00000205,2519,0.85
SIR1,COM00004713,7054,0.84
SIR1,COM00004376,2353,0.84
CDN2A,COM00005149,942,0.84
SIR1,COM00002137,6912,0.83
SIR1,COM00005895,5281855,0.83
IGF1,COM00000996,6137,0.83
BECN1,COM00001123,264,0.83
SIR3,COM00001188,6037,0.83
SIR1,COM00004930,5280795,0.82
SIR1,COM00004398,46936193,0.82
SIR1,COM00001997,5870,0.82
SIR1,COM00004629,5283731,0.81
IGF1,COM00002234,702,0.81
SIR1,COM00000994,5280934,0.81
SIR1,COM00002683,7991,0.81
SIR1,COM00004134,5429,0.81
SIR1,COM00006167,9996708,0.81
BECN1,COM00001237,5280863,0.81
SIR1,COM00006234,5282745,0.81
IGF1,COM00005174,681,0.8
CDN2A,COM00000666,445154,0.79
SIR1,COM00001188,6037,0.79
SIR1,COM00001719,443884,0.79
IGF1,COM00005149,942,0.79
SIR3,COM00000671,936,0.79
SIR1,COM00006015,6054,0.79
IGF1,COM00004629,5283731,0.78
SIR1,COM00005155,3007,0.78
SIR1,COM00002001,3182,0.78
CDN2A,COM00001188,6037,0.78
SIR1,COM00004835,743,0.78
BECN1,COM00001188,6037,0.78
BECN1,COM00002234,702,0.77
SIR1,COM00004325,5326566,0.77
SIR1,COM00003265,119205,0.77
SIR3,COM00004018,25322948,0.77
SIR1,COM00001891,60961,0.77
SIR1,COM00000758,1060,0.76
BECN1,COM00004561,46936484,0.76
SIR1,COM00000890,2153,0.76
KLOT,COM00002234,702,0.76
SIR1,COM00004524,448751,0.75
SIR1,COM00000675,1130,0.75
SIR4,COM00001188,6037,0.75
SIR3,COM00004376,2353,0.75
SIR5,COM00005599,3715,0.75
SIR3,COM00000996,6137,0.75
SIR3,COM00004948,24417,0.74
SIR1,COM00005174,681,0.74
IGF1,COM00002627,6013,0.74
SIR3,COM00000666,445154,0.73
SIR1,COM00005095,9294,0.73
IGF1,COM00006114,5978,0.73
BECN1,COM00005155,3007,0.73
IGF1,COM00003218,440995,0.73
SIR1,COM00002929,14985,0.73
SIR1,COM00003218,440995,0.73
CDN2A,COM00000671,936,0.72
IGF1,COM00000058,5280343,0.72
IGF1,COM00004948,24417,0.72
SIR1,COM00001038,6581,0.72
SIR1,COM00004185,7997,0.72
IGF1,COM00004561,46936484,0.72
SIR1,COM00006492,311,0.72
BECN1,COM00002683,7991,0.72
BECN1,COM00002659,10430,0.72
IGF1,COM00001123,264,0.72
SIR1,COM00000076,54675858,0.71
KLOT,COM00004258,439260,0.71
KLOT,COM00000278,14969,0.71
KLOT,COM00004930,5280795,0.71
IGF1,COM00005599,3715,0.71
SIR1,COM00005845,5288826,0.71
SIR2,COM00005155,3007,0.71
SIR2,COM00000666,445154,0.71
BECN1,COM00004077,1135,0.71
SIR1,COM00002278,3893,0.71
SIR1,COM00004908,379,0.71
SIR1,COM00003181,12530,0.71
SIR1,COM00000837,72281,0.71
SIR1,COM00000363,2969,0.71
BECN1,COM00002226,612,0.71
SIR3,COM00000837,72281,0.7
CDN2A,COM00001123,264,0.7
SIR2,COM00004625,33032,0.7
SIR1,COM00004258,439260,0.7
SIR1,COM00004561,46936484,0.7
SIR2,COM00004134,5429,0.7
BECN1,COM00005599,3715,0.69
SIR1,COM00006100,441074,0.69
SIR1,COM00004345,16666,0.69
SIR1,COM00002335,3034034,0.69
SIR1,COM00004262,1549107,0.69
BECN1,COM00005439,79034,0.69
CDN2A,COM00001891,60961,0.69
SIR1,COM00000998,1110,0.69
IGF1,COM00004625,33032,0.69
SIR1,COM00002768,12620,0.69
SIR4,COM00005599,3715,0.69
SIR1,COM00004018,25322948,0.68
CDN2A,COM00000058,5280343,0.68
SIR1,COM00003107,6128,0.68
SIR1,COM00000516,5994,0.68
IGF1,COM00002768,12620,0.68
BECN1,COM00001306,385,0.68
IGF1,COM00000037,241903,0.67
BECN1,COM00006492,311,0.67
SIR1,COM00000101,439685,0.67
SIR1,COM00000320,107971,0.67
SIR1,COM00005439,79034,0.66
SIR5,COM00003588,10836,0.66
SIR3,COM00000205,2519,0.66
IGF1,COM00001233,1031,0.66
SIR1,COM00000140,1123,0.66
BECN1,COM00000205,2519,0.66
BECN1,COM00005149,942,0.66
SIR1,COM00002226,612,0.65
KLOT,COM00001188,6037,0.65
BECN1,COM00004406,54670067,0.65
SIR1,COM00005017,11047943,0.65
BECN1,COM00002768,12620,0.65
IGF1,COM00006608,1174,0.65
SIR1,COM00001306,385,0.65
SIR3,COM00002234,702,0.65
SIR1,COM00001634,971,0.65
IGF1,COM00004930,5280795,0.65
BECN1,COM00000996,6137,0.65
IGF1,COM00003354,790,0.63
SIR4,COM00000666,445154,0.63
BECN1,COM00004524,448751,0.63
KLOT,COM00000671,936,0.63
CDN2A,COM00004625,33032,0.62
BECN1,COM00003074,439246,0.62
BECN1,COM00000998,1110,0.62
SIR1,COM00002927,445354,0.62
SIR1,COM00004411,6140,0.61
IGF1,COM00002659,10430,0.61
BECN1,COM00000666,445154,0.61
SIR1,COM00003201,10235,0.61
BECN1,COM00002137,6912,0.61
BECN1,COM00006123,1176,0.61
IGF1,COM00003297,3776,0.61
SIR1,COM00003179,243,0.61
SIR1,COM00004623,493570,0.6
SIR1,COM00002956,46936492,0.6
SIR5,COM00000666,445154,0.6
CDN2A,COM00002631,785,0.6
SIR1,COM00000117,3631,0.6
SIR1,COM00003206,6047,0.59
BECN1,COM00004345,16666,0.59
CDN2A,COM00002659,10430,0.59
SIR1,COM00002954,7478,0.59
BECN1,COM00005895,5281855,0.59
SIR3,COM00001891,60961,0.59
IGF1,COM00004406,54670067,0.59
SIR1,COM00000995,6057,0.59
