protein,cid,interaction,prob
BCL2,5870,0,0.06
BCL2,445154,0,0.1
BCL2,46937002,0,0.0
BCL2,46936193,0,0.04
BCL2,54675858,0,0.02
BCL2,5280961,0,0.02
BCL2,2519,0,0.1
BCL2,2153,0,0.02
BCL2,5429,0,0.08
BCL2,2353,0,0.18
BCL2,5994,0,0.0
BCL2,10235,0,0.1
BCL2,1060,0,0.0
BCL2,5280934,0,0.02
BCL2,6054,0,0.02
BCL2,119205,0,0.04
BCL2,637517,0,0.02
BCL2,996,0,0.04
BCL2,439246,0,0.0
BCL2,3034034,0,0.06
BCL2,1130,0,0.1
BCL2,3893,0,0.0
BCL2,12620,0,0.0
BCL2,444294,0,0.02
BCL2,14985,0,0.08
BCL2,338,0,0.02
BCL2,5280863,0,0.02
BCL2,446220,0,0.02
BCL2,702,0,0.02
BCL2,3776,0,0.04
BCL2,5280343,0,0.0
BCL2,6305,0,0.04
BCL2,107971,0,0.0
BCL2,6274,0,0.06
BCL2,6267,0,0.02
BCL2,5962,0,0.0
BCL2,5862,0,0.0
BCL2,33032,0,0.0
BCL2,1174,0,0.02
BCL2,453551,0,0.02
BCL2,1110,0,0.0
BCL2,938,0,0.0
BCL2,7478,0,0.0
BCL2,10133,0,0.0
BCL2,31401,0,0.0
BCL2,221493,0,0.0
BCL2,79034,0,0.0
BCL2,60961,0,0.1
BCL2,3000322,0,0.04
BCL2,5281672,0,0.0
BCL2,1045,0,0.0
BCL2,199,0,0.04
BCL2,1103,0,0.0
BCL2,785,0,0.04
BCL2,3000346,0,0.0
BCL2,998,0,0.06
BCL2,46936484,0,0.0
BCL2,955,0,0.02
BCL2,243,0,0.0
BCL2,1102,0,0.0
BCL2,971,0,0.0
BCL2,25322948,0,0.12
BCL2,681,0,0.04
BCL2,9996708,0,0.0
BCL2,750,0,0.0
BCL2,444863,0,0.0
BCL2,26470759,0,0.02
BCL2,289,0,0.04
BCL2,8969,0,0.04
BCL2,1054,0,0.06
BCL2,5281855,0,0.04
BCL2,72281,0,0.06
BCL2,54670067,0,0.0
BCL2,145742,0,0.02
BCL2,942,0,0.16
BCL2,3532,0,0.02
BCL2,2230,0,0.0
BCL2,379,0,0.0
BCL2,6137,0,0.08
BCL2,16666,0,0.0
BCL2,5283731,0,0.04
BCL2,5280795,0,0.04
BCL2,3182,0,0.06
BCL2,311,0,0.02
BCL2,6089,0,0.08
BCL2,441074,0,0.06
BCL2,612,0,0.0
BCL2,6057,0,0.04
BCL2,6912,0,0.0
BCL2,5960,0,0.0
BCL2,5951,0,0.04
BCL2,6288,0,0.04
BCL2,6287,0,0.0
BCL2,6106,0,0.0
BCL2,239,0,0.0
BCL2,5950,0,0.0
BCL2,154417,0,0.0
BCL2,6140,0,0.04
BCL2,46936492,0,0.02
BCL2,5978,0,0.08
BCL2,241903,0,0.08
BCL2,6021,0,0.06
BCL2,190,0,0.06
BCL2,790,0,0.0
BCL2,1031,0,0.04
BCL2,445354,0,0.02
BCL2,6037,0,0.26
BCL2,493570,0,0.02
BCL2,448751,0,0.02
BCL2,385,0,0.0
BCL2,760,0,0.0
BCL2,743,0,0.0
BCL2,7054,0,0.02
BCL2,264,0,0.0
BCL2,47936,0,0.08
BCL2,439685,0,0.02
BCL2,5282745,0,0.02
BCL2,2879,0,0.04
BCL2,1032,0,0.0
BCL2,46936757,0,0.0
BCL2,19,0,0.0
BCL2,14969,0,0.04
BCL2,2969,0,0.0
BCL2,6590,0,0.0
BCL2,10430,0,0.0
BCL2,440995,0,0.0
BCL2,439260,0,0.04
BCL2,8617,0,0.0
BCL2,1135,0,0.08
BCL2,7991,0,0.0
BCL2,3715,0,0.22
BCL2,5770,0,0.04
BCL2,1176,0,0.0
BCL2,936,0,0.04
BCL2,12530,0,0.0
BCL2,443884,0,0.04
BCL2,440473,0,0.0
BCL2,1549107,0,0.04
BCL2,174174,0,0.0
BCL2,1491,0,0.0
BCL2,647,0,0.0
BCL2,5326566,0,0.0
BCL2,7997,0,0.0
BCL2,1005,0,0.0
BCL2,757,0,0.0
BCL2,24417,0,0.08
BCL2,46936732,0,0.08
BCL2,1123,0,0.04
BCL2,6047,0,0.04
BCL2,441478,0,0.02
BCL2,6581,0,0.0
BCL2,11047943,0,0.04
BCL2,9294,0,0.02
BCL2,31721,0,0.04
BCL2,3007,0,0.06
BCL2,10836,0,0.04
BCL2,342,0,0.04
BCL2,3631,0,0.06
BCL2,6013,0,0.0
BCL2,6128,0,0.0
BCL2,3662,0,0.02
BCL2,9750,0,0.04
BCL2,5288826,0,0.02
BECN1,5870,1,0.62
BECN1,445154,1,0.88
BECN1,46937002,1,0.76
BECN1,46936193,1,0.56
BECN1,54675858,1,0.52
BECN1,5280961,1,0.78
BECN1,2519,1,0.82
BECN1,2153,0,0.2
BECN1,5429,1,0.54
BECN1,2353,0,0.5
BECN1,5994,0,0.26
BECN1,10235,0,0.3
BECN1,1060,1,0.86
BECN1,5280934,1,0.68
BECN1,6054,1,0.64
BECN1,119205,0,0.46
BECN1,637517,1,0.7
BECN1,996,1,0.88
BECN1,439246,1,0.86
BECN1,3034034,0,0.5
BECN1,1130,0,0.22
BECN1,3893,1,0.96
BECN1,12620,1,0.8
BECN1,444294,0,0.38
BECN1,14985,1,0.7
BECN1,338,0,0.26
BECN1,5280863,1,0.86
BECN1,446220,0,0.18
BECN1,702,1,0.7
BECN1,3776,1,0.66
BECN1,5280343,1,0.9
BECN1,6305,0,0.12
BECN1,107971,1,0.72
BECN1,6274,0,0.2
BECN1,6267,0,0.24
BECN1,5962,0,0.1
BECN1,5862,0,0.04
BECN1,33032,0,0.24
BECN1,1174,1,0.58
BECN1,453551,1,0.58
BECN1,1110,1,0.88
BECN1,938,0,0.08
BECN1,7478,0,0.32
BECN1,10133,1,0.62
BECN1,31401,1,0.62
BECN1,221493,1,0.62
BECN1,79034,1,0.86
BECN1,60961,0,0.5
BECN1,3000322,0,0.4
BECN1,5281672,1,0.82
BECN1,1045,0,0.08
BECN1,199,0,0.16
BECN1,1103,0,0.16
BECN1,785,1,0.92
BECN1,3000346,1,0.54
BECN1,998,0,0.18
BECN1,46936484,1,0.84
BECN1,955,0,0.44
BECN1,243,0,0.18
BECN1,1102,0,0.18
BECN1,971,1,0.76
BECN1,25322948,0,0.46
BECN1,681,1,0.58
BECN1,9996708,1,0.74
BECN1,750,0,0.08
BECN1,444863,1,0.86
BECN1,26470759,1,0.58
BECN1,289,1,0.94
BECN1,8969,0,0.42
BECN1,1054,0,0.36
BECN1,5281855,1,0.68
BECN1,72281,1,0.68
BECN1,54670067,1,0.54
BECN1,145742,0,0.26
BECN1,942,1,0.92
BECN1,3532,0,0.34
BECN1,2230,0,0.26
BECN1,379,1,0.96
BECN1,6137,1,0.64
BECN1,16666,1,0.78
BECN1,5283731,1,0.96
BECN1,5280795,1,0.96
BECN1,3182,1,0.56
BECN1,311,1,0.88
BECN1,6089,0,0.3
BECN1,441074,0,0.5
BECN1,612,1,0.84
BECN1,6057,0,0.3
BECN1,6912,1,0.74
BECN1,5960,0,0.16
BECN1,5951,0,0.22
BECN1,6288,0,0.36
BECN1,6287,0,0.22
BECN1,6106,0,0.22
BECN1,239,0,0.18
BECN1,5950,0,0.12
BECN1,154417,0,0.4
BECN1,6140,0,0.2
BECN1,46936492,1,0.54
BECN1,5978,0,0.46
BECN1,241903,0,0.44
