UniprotID,Uniprot Name,Ligand SMILES,PubChem_CID
Q14457,BECN1_HUMAN,CCCC(=O)O,264
Q14457,BECN1_HUMAN,C,297
Q14457,BECN1_HUMAN,C[N+](C)(C)CCO,305
Q14457,BECN1_HUMAN,CC(CC(=O)O)O,441
Q14457,BECN1_HUMAN,[O-][As]([O-])[O-],544
Q14457,BECN1_HUMAN,CC(C(=O)O)O,612
Q14457,BECN1_HUMAN,CCO,702
Q14457,BECN1_HUMAN,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,727
Q14457,BECN1_HUMAN,OO,784
Q14457,BECN1_HUMAN,C1=CC(=CC=C1O)O,785
Q14457,BECN1_HUMAN,C1(C(C(C(C(C1O)O)O)O)O)O,892
Q14457,BECN1_HUMAN,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,896
Q14457,BECN1_HUMAN,[Ni],935
Q14457,BECN1_HUMAN,O,962
Q14457,BECN1_HUMAN,O=O,977
Q14457,BECN1_HUMAN,CCCCCCCCCCCCCCCC(=O)O,985
Q14457,BECN1_HUMAN,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,992
Q14457,BECN1_HUMAN,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,995
Q14457,BECN1_HUMAN,CC(=O)C(=O)O,1060
Q14457,BECN1_HUMAN,O=S=O,1119
Q14457,BECN1_HUMAN,CC1CCC(C(C1)O)C(C)C,1254
Q14457,BECN1_HUMAN,CNNC,1322
Q14457,BECN1_HUMAN,CN1CCC(=CC1)C2=CC=CC=C2,1388
Q14457,BECN1_HUMAN,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,1486
Q14457,BECN1_HUMAN,CCCCCCCCCC1=CC=C(C=C1)O,1752
Q14457,BECN1_HUMAN,C1=CC=C2C(=C1)C3=CC4=C(C5=CC=CC=C5N4)C(=C3N2)C=O,1863
Q14457,BECN1_HUMAN,CC(C)(C(=N)N)N=NC(C)(C)C(=N)N,1969
Q14457,BECN1_HUMAN,CC(=O)NC1=CC=C(C=C1)O,1983
Q14457,BECN1_HUMAN,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,2179
Q14457,BECN1_HUMAN,CC(=O)C1=CC(=C(C=C1)O)OC,2214
Q14457,BECN1_HUMAN,COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)O,2236
Q14457,BECN1_HUMAN,CCNC1=NC(=NC(=N1)Cl)NC(C)C,2256
Q14457,BECN1_HUMAN,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,2268
Q14457,BECN1_HUMAN,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,2336
Q14457,BECN1_HUMAN,CCOC(=O)C1=CC=C(C=C1)N,2337
Q14457,BECN1_HUMAN,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,2353
Q14457,BECN1_HUMAN,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,2355
Q14457,BECN1_HUMAN,CS(=O)(=O)OCCCCOS(=O)(=O)C,2478
Q14457,BECN1_HUMAN,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,2519
